name;zipcode;total_employment;total_senior_employment
Castres;02142;20,07008346;4
Le Catelet;02143;117,437742;0
Caulaincourt;02144;29,47692308;0
Caumont;02145;59,20630408;0
Celles-lès-Condé;02146;19,13253012;0
La Celle-sous-Montmirail;02147;16,21868622;0
Celles-sur-Aisne;02148;19,42648212;0
Cerizy;02149;4;0
Cerny-en-Laonnois;02150;32,90847094;0
Cerny-lès-Bucy;02151;7,933596832;0
Cerseuil;02152;54,6023849;0
Cessières;02153;36,74287863;0
Chacrise;02154;70,07040559;0
Chaillevois;02155;0;0
Chalandry;02156;11,59461378;0
Chambry;02157;877,5669843;39,19776982
Chamouille;02158;494,7053003;7,976387542
Champs;02159;23,90166442;0
Chaourse;02160;136,0888119;0
La Chapelle-Monthodon;02161;48,66309638;0
La Chapelle-sur-Chézy;02162;29,31949408;0
Charly-sur-Marne;02163;1111,73306;31,04970072
Le Charmel;02164;11,71023798;0
Charmes;02165;466,8486573;48,72161766
Chartèves;02166;14,6390413;0
Chassemy;02167;68,5552757;4,040050063
Château-Thierry;02168;9091,37943;364,927118
Châtillon-lès-Sons;02169;12,02956748;0
Châtillon-sur-Oise;02170;7,923608761;0
Chaudardes;02171;8,213333333;0
Chaudun;02172;62,29455674;0
Chauny;02173;6770,084953;209,8157635
Chavignon;02174;166,240298;0
Chavigny;02175;12,69565217;0
Chavonne;02176;18,44848615;0
Chérêt;02177;9,033863219;0
Chermizy-Ailles;02178;0;0
Chéry-Chartreuve;02179;19,84068946;0
Chéry-lès-Pouilly;02180;95,90177352;0
Chéry-lès-Rozoy;02181;8;0
Chevennes;02182;4,028571429;0
Chevregny;02183;19,02418102;0
Chevresis-Monceau;02184;39,35305101;0
Chézy-en-Orxois;02185;12,14419507;0
Chézy-sur-Marne;02186;349,6927219;0
Chierry;02187;813,9630458;58,89246086
Chigny;02188;27,20448507;8
Chivres-en-Laonnois;02189;19,87165775;0
Chivres-Val;02190;47,31626571;0
Chivy-lès-Étouvelles;02191;89,74298321;4
Chouy;02192;60,74043148;4,040920716
Cierges;02193;0;0
Cilly;02194;8;0
Ciry-Salsogne;02195;242,9056971;9,010422392
Clacy-et-Thierret;02196;71,4972568;0
Clairfontaine;02197;251,8595637;3,941176471
Clamecy;02198;11,65535248;0
Clastres;02199;48,31887718;0
Clermont-les-Fermes;02200;30,38088016;0
C_uvres-et-Valsery;02201;139,7790724;12
Coincy;02203;164,6934576;0
Coingt;02204;23,66726647;0
Colligis-Crandelain;02205;16,17679558;0
Colonfay;02206;11,54234348;0
Commenchon;02207;12,12565445;0
Concevreux;02208;44,63312249;0
Condé-en-Brie;02209;336,9578765;0
Condé-sur-Aisne;02210;28,44515121;0
Condé-sur-Suippe;02211;58,32951798;3,963436941
Condren;02212;509,7613128;15,85974375
Connigis;02213;52,05605576;0
Contescourt;02214;11,11227897;0
Corbeny;02215;270,675405;3,959209573
Corcy;02216;35,28685924;0
Coucy-le-Château-Auffrique;02217;430,7859194;11,92945143
Coucy-lès-Eppes;02218;131,0610119;15,75088633
Coucy-la-Ville;02219;61,3832204;3,126002184
Coulonges-Cohan;02220;56,10559786;0
Coupru;02221;16,86021505;0
Courbes;02222;3,551616401;0
Courboin;02223;12,19112628;0
Courcelles-sur-Vesle;02224;105,0013791;7,780821918
Courchamps;02225;8,014476538;0
Courmelles;02226;274,5033246;15,13033985
Courmont;02227;19,81981982;0
Courtemont-Varennes;02228;79,35378935;2,954939396
Courtrizy-et-Fussigny;02229;11,50363315;0
Couvrelles;02230;45,21999458;0
Couvron-et-Aumencourt;02231;768,9410543;4,004824647
Coyolles;02232;277,4106114;0
Cramaille;02233;86,87656505;4,061538462
Craonne;02234;36,50825336;0
Craonnelle;02235;15,61583481;0
Crécy-au-Mont;02236;50,01255334;0
Crécy-sur-Serre;02237;500,7680128;30,42526086
Crépy;02238;367,0647858;3,946154237
Crézancy;02239;313,9158345;13,13239593
Croix-Fonsomme;02240;27,72148039;0
La Croix-sur-Ourcq;02241;58,76686933;0
Crouttes-sur-Marne;02242;111,0388588;12,03738318
Crouy;02243;905,652896;40,75209157
Crupilly;02244;11,86666667;0
Cuffies;02245;557,3392185;1,072278062
Cugny;02246;58,07342531;0
Cuirieux;02248;13,90163622;0
Cuiry-Housse;02249;22,79294985;0
Cuiry-lès-Chaudardes;02250;28,85538462;8,426666667
